"REGION","URBANICITY","MAKE","MODEL","BODY_TYP","MOD_YEAR","GVWR","ROLLOVER","IMPACT1","DEFORMED","FIRE_EXP","SPEEDREL","P_CRASH2","ACC_TYPE","AGE","SEX","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","EJECTION","ALCH_TRANS","DRUGS_TRANS"
"4","1","49","46","9","2007","0","0","12","6","0","4","51","24","32","2","1","11","3","20","0","0","0"
"4","1","49","482","34","2005","0","0","83","4","0","0","50","48","34","1","1","11","3","20","0","0","0"
"4","1","20","26","5","2017","0","0","61","6","0","0","50","48","31","1","1","11","3","20","0","0","0"
"4","1","54","399","4","9999","0","0","5","2","0","0","15","68","999","9","9","11","99","99","9","0","0"
"4","1","7","422","15","2016","0","0","5","2","0","0","53","44","11","1","1","23","3","20","0","0","0"
"4","1","6","18","4","2015","0","0","82","6","0","0","11","46","65","1","1","11","3","9","0","1","0"
"4","1","41","51","4","2017","0","9","63","6","0","0","60","45","48","1","2","11","3","9","0","1","0"
"4","1","41","51","4","2017","0","9","63","6","0","0","60","45","4","1","1","21","4","9","0","0","0"
"4","1","41","51","4","2017","0","9","63","6","0","0","60","45","6","2","1","23","4","9","0","0","0"
"3","1","49","51","5","2012","0","0","12","6","0","0","50","20","20","2","2","11","3","20","0","0","0"
"3","1","63","34","4","2018","0","0","12","2","0","0","67","83","58","2","1","11","3","20","0","0","0"
"3","1","63","34","4","2018","0","0","12","2","0","0","67","83","31","2","1","13","3","20","0","0","0"
"3","1","19","18","2","2011","0","0","12","6","0","0","17","82","47","2","1","11","3","1","0","0","0"
"3","1","49","471","34","1990","0","0","12","6","0","0","17","83","75","1","4","11","20","20","0","0","0"
"3","1","63","37","6","2016","0","0","6","6","0","0","53","21","29","1","1","11","3","20","0","0","0"
"3","1","63","37","6","2016","0","0","6","6","0","0","53","21","3","2","2","21","10","20","0","0","0"
"3","1","49","40","4","1996","0","0","12","6","0","0","62","69","27","2","2","11","3","1","0","0","0"
"3","1","63","37","6","2017","0","0","12","6","0","0","50","20","42","2","2","11","3","1","0","0","0"
"3","1","35","50","5","2015","0","0","11","6","0","0","15","82","53","2","4","11","20","8","1","0","0"
"3","1","35","50","5","2015","0","0","11","6","0","0","15","82","11","2","4","13","20","8","0","0","0"
"3","1","51","45","4","2008","0","0","12","6","0","0","67","83","20","1","2","11","3","8","0","0","0"
"3","1","14","20","4","2005","0","0","12","6","0","0","67","98","51","1","1","11","3","20","0","0","0"
"3","2","35","47","4","1999","0","0","3","6","0","0","17","87","19","2","3","11","20","8","1","0","0"
"3","2","63","402","14","2015","0","0","7","6","0","0","60","74","57","2","2","11","3","20","0","0","0"
"3","2","42","48","4","2007","0","0","1","6","0","0","15","68","19","2","1","11","3","8","0","0","0"
"3","2","6","43","4","2005","0","0","12","6","0","0","62","69","22","1","1","11","3","8","0","0","0"
"3","2","7","482","39","9999","0","0","12","9","0","0","17","84","999","2","9","11","99","99","0","0","0"
"3","2","7","482","39","9999","0","0","12","9","0","0","17","84","999","1","9","13","99","99","0","0","0"
"4","1","24","1","4","2001","0","0","61","4","0","0","13","2","32","2","1","11","3","20","0","0","0"
"4","1","24","1","4","2001","0","0","61","4","0","0","13","2","27","1","1","13","3","20","0","0","0"
"4","1","20","10","2","1977","0","0","6","2","0","0","53","22","37","1","1","11","3","20","0","0","0"
"4","1","49","40","9","2010","0","0","12","4","0","0","62","69","29","2","1","11","3","9","0","0","0"
"4","1","37","32","9","2014","0","0","99","6","0","0","9","2","24","2","2","11","3","9","0","1","0"
"4","1","37","32","9","2014","0","0","99","6","0","0","9","2","23","2","1","13","3","9","0","0","0"
"2","2","20","2","4","2013","0","0","1","4","0","0","17","88","36","2","1","11","3","20","0","0","0"
"4","1","20","2","9","2007","0","0","12","4","0","0","51","24","27","2","1","11","3","9","0","0","1"
"4","1","42","47","1","2000","0","0","6","4","0","0","53","21","61","1","1","11","3","20","0","0","0"
"4","1","7","999","49","2017","0","0","12","6","0","0","10","73","31","1","3","11","3","20","0","0","0"
"4","1","37","32","4","2003","0","0","12","6","0","4","51","24","24","2","3","11","3","9","0","1","0"
"4","1","42","31","2","1992","0","0","6","6","0","0","53","25","62","1","1","11","3","20","0","1","0"
"4","1","99","999","79","9999","9","0","99","9","0","0","61","45","999","9","9","11","99","99","9","0","0"
"4","1","20","999","79","2015","9","0","82","6","0","0","61","44","54","1","1","11","3","20","0","0","0"
"4","1","59","31","4","2013","0","0","81","6","0","0","61","98","36","1","1","11","3","20","0","0","0"
"4","1","49","40","4","2001","0","9","99","6","0","0","9","98","43","2","2","11","3","20","0","0","0"
"3","1","12","481","34","2003","0","0","12","6","0","4","6","1","20","2","1","11","3","1","0","0","0"
"3","1","12","481","34","2003","0","0","12","6","0","4","6","1","26","1","2","13","20","1","0","0","0"
"3","1","7","29","4","2016","0","0","12","6","0","0","10","50","30","2","4","11","3","1","0","1","1"
"3","1","12","23","4","2006","0","0","12","2","0","0","87","13","18","2","3","11","3","1","0","0","0"
"3","1","7","29","4","2015","0","0","11","6","0","0","66","89","65","2","3","11","3","8","0","0","0"
"3","1","35","39","4","2006","0","0","12","6","0","3","13","1","23","2","3","11","20","1","1","1","0"
"3","1","20","403","14","2003","0","1","12","6","0","0","13","1","19","1","4","11","20","20","1","0","0"
"3","1","35","47","4","1998","0","0","11","6","0","0","10","45","26","2","3","11","99","20","0","1","0"
"3","1","63","401","14","2015","0","0","12","6","0","0","17","88","19","2","2","11","3","1","0","0","0"
"3","1","63","38","4","2016","0","0","10","6","0","0","17","89","36","2","2","11","3","1","0","0","0"
"3","1","18","2","4","1997","0","0","6","4","0","0","53","21","55","1","1","11","3","20","0","1","0"
"3","1","18","2","4","1997","0","0","6","4","0","0","53","21","50","2","3","13","3","20","0","0","0"
"3","1","12","422","15","2005","0","1","99","6","0","0","13","1","75","1","3","11","3","2","0","0","0"
"3","1","37","31","2","2002","0","2","0","6","0","4","98","98","17","1","2","11","3","20","0","0","0"
"3","1","6","441","20","2006","0","0","12","6","0","0","51","24","67","1","2","11","3","1","0","0","0"
"3","1","20","37","4","2014","0","0","6","6","0","0","53","25","31","2","2","11","3","20","0","0","0"
"3","2","51","401","14","2006","0","0","12","6","0","0","15","68","30","1","2","11","3","1","0","0","0"
"3","2","37","39","5","2015","0","0","12","6","0","0","62","69","29","2","3","11","3","1","0","0","0"
"3","2","99","999","99","9999","9","0","6","9","0","0","53","21","999","9","9","11","99","99","0","0","0"
"3","2","63","38","4","2017","0","0","7","6","0","0","60","48","49","2","2","11","3","20","0","0","0"
"3","2","2","404","14","2018","0","0","6","2","0","0","18","29","29","1","1","11","3","20","0","0","0"
"3","2","49","40","4","2016","0","0","6","2","0","0","53","23","0","2","9","22","11","20","0","0","0"
"3","2","72","706","80","2008","0","0","12","6","0","0","62","83","44","1","2","11","5","20","8","0","0"
"3","2","21","1","2","1979","0","0","6","2","0","0","53","23","34","1","1","11","3","20","0","0","0"
"3","2","21","1","2","1979","0","0","6","2","0","0","53","23","24","1","1","13","3","20","0","0","0"
"3","2","52","401","14","1997","0","0","12","6","0","4","6","2","66","1","3","11","20","1","0","0","0"
"3","2","52","401","14","1997","0","0","12","6","0","4","6","2","66","2","3","13","20","1","0","0","0"
"3","2","20","481","34","1992","0","0","1","6","0","0","6","2","25","2","1","13","3","20","0","0","0"
"3","2","12","37","3","2002","0","0","6","2","0","0","53","23","23","2","1","11","3","20","0","0","0"
"3","2","35","43","4","2017","0","0","9","6","0","0","15","82","25","2","1","11","3","8","0","0","0"
"3","2","35","43","4","2017","0","0","9","6","0","0","15","82","31","1","1","13","3","8","0","0","0"
"3","2","7","482","34","2005","0","0","12","4","0","0","72","83","23","1","1","11","3","20","0","0","0"
"3","2","12","24","6","2015","0","0","61","6","0","0","87","8","20","2","1","11","99","8","0","0","0"
"3","2","20","481","34","2005","0","9","12","6","1","9","9","5","41","1","4","11","99","8","1","0","0"
"3","2","23","423","15","2014","0","0","12","6","0","0","17","91","61","2","1","11","3","20","0","0","0"
"3","2","23","423","15","2014","0","0","12","6","0","0","17","91","70","1","1","13","3","20","0","0","0"
"3","2","19","20","6","2016","0","0","1","6","0","0","17","91","62","2","2","11","3","8","0","0","0"
"4","1","35","472","34","2014","0","0","12","4","0","0","66","88","39","1","1","11","3","20","0","1","0"
"4","1","35","472","34","2014","0","0","12","4","0","0","66","88","43","1","1","13","3","20","0","0","0"
"4","1","35","472","34","2014","0","0","12","4","0","0","66","88","20","1","1","21","3","20","0","0","0"
"4","1","35","472","34","2014","0","0","12","4","0","0","66","88","24","1","1","23","3","20","0","0","0"
"4","1","35","47","4","2006","0","0","12","6","0","4","52","28","36","1","2","11","3","9","0","0","0"
"4","1","49","32","4","2015","0","0","6","6","0","0","53","29","31","1","1","11","3","20","0","0","0"
