"PERMVIT","RELJCT1","WEIGHT","MAKE","MODEL","ROLLOVER","VNUM_LAN","VTRAFCON","PCRASH5","ACC_TYPE","MDLYR_IM","IMPACT1_IM","PCRASH1_IM","INJ_SEV","REST_USE","AIR_BAG","SEX_IM","AGE_IM"
4,0,74.9676265834444,41,51,9,3,0,1,45,2017,63,1,2,3,9,1,48
2,0,159.34962839716783,49,51,0,2,0,1,20,2012,12,1,2,3,20,2,20
5,0,28.80321980501235,49,471,0,4,3,1,83,1990,12,1,4,20,20,1,75
4,0,159.34962839716783,49,40,0,5,0,1,69,1996,12,1,2,3,1,2,27
3,0,68.38656771536894,63,37,0,2,0,1,20,2017,12,1,2,3,1,2,42
4,0,26.98493930095957,35,50,0,2,20,1,82,2015,11,11,4,20,8,2,53
4,0,26.98493930095957,51,45,0,2,0,1,83,2008,12,1,2,3,8,1,20
2,0,27.297360647536284,35,47,0,2,3,1,87,1999,3,1,3,20,8,2,19
2,0,67.78164858225554,63,402,0,2,0,1,74,2015,7,11,2,3,20,2,57
2,8,76.42125782768095,37,32,0,5,3,4,2,2014,12,11,2,3,9,2,24
4,8,20.62398991160912,7,999,0,2,0,2,73,2017,12,6,3,3,20,1,31
2,0,30.490190373972005,37,32,0,5,0,1,24,2003,12,1,3,3,9,2,24
1,0,178.40208685988748,49,40,9,2,0,4,98,2001,83,1,2,3,20,2,43
2,0,15.700392812062734,7,29,0,2,40,2,50,2016,12,1,4,3,1,2,30
1,0,27.53492415569608,12,23,0,2,40,1,13,2006,12,1,3,3,1,2,18
2,0,15.009055523006237,7,29,0,2,40,1,89,2015,11,1,3,3,8,2,65
1,0,27.53492415569608,35,39,0,2,40,4,1,2006,12,1,3,20,1,2,23
1,0,28.80321980501235,20,403,1,2,40,4,1,2003,12,1,4,20,20,1,19
3,0,27.53492415569608,35,47,0,4,3,2,45,1998,11,1,3,99,20,2,26
2,0,68.38656771536894,63,401,0,6,3,1,88,2015,12,1,2,3,1,2,19
2,0,68.38656771536894,63,38,0,6,3,1,89,2016,10,1,2,3,1,2,36
1,1,27.53492415569608,12,422,1,3,0,4,1,2005,12,1,3,3,2,1,75
1,0,159.34962839716783,37,31,2,2,0,4,98,2002,0,14,2,3,20,1,17
2,0,68.38656770983272,6,441,0,2,0,1,24,2006,12,1,2,3,1,1,67
2,0,68.38656770983272,20,37,0,2,0,1,25,2014,6,1,2,3,20,2,31
2,0,26.905154397380983,51,401,0,5,3,1,68,2006,12,11,2,3,1,1,30
2,0,26.905154397380983,37,39,0,2,3,1,69,2015,12,14,3,3,1,2,29
2,0,67.78164858225554,63,38,0,3,0,1,48,2017,7,1,2,3,20,2,49
2,0,28.249911999837362,72,706,0,3,3,1,83,2008,12,2,2,5,20,1,44
2,0,27.297360647536284,52,401,0,2,40,4,2,1997,12,1,3,20,1,1,66
1,0,73.79690945922788,20,481,9,3,0,4,5,2005,12,14,4,99,8,1,41
3,0,67.78164858225554,19,20,0,3,3,1,91,2016,1,1,2,3,8,2,62
6,0,74.96762658910926,35,47,0,2,0,1,28,2006,12,1,2,3,9,1,36
2,8,29.83390163535627,21,401,0,4,0,1,69,1997,12,1,3,3,20,2,24
5,0,27.53492415569608,18,20,0,2,3,1,69,2003,12,1,3,3,1,2,41
6,0,68.38656771536894,18,421,0,3,3,1,83,2013,12,1,2,3,8,2,42
6,0,68.38656771536894,34,37,0,3,3,1,82,2008,11,11,2,3,2,1,45
1,0,159.4516256512106,30,40,0,2,40,4,6,2009,12,14,2,3,1,1,35
2,0,26.905154397380983,35,403,0,3,0,2,48,2015,12,1,3,20,1,1,61
1,0,28.249911999837362,37,705,0,4,0,3,98,1995,0,15,2,5,20,1,21
1,0,27.297360647536284,49,40,0,3,0,4,8,2010,12,1,3,3,20,2,20
2,0,159.4516256512106,20,431,0,3,0,1,69,2002,8,1,2,3,20,2,47
1,1,28.249911999837362,72,706,0,2,0,4,8,2011,12,14,3,19,20,1,39
3,0,36.67099924127668,99,499,0,2,0,1,52,2014,12,14,4,99,99,2,41
3,0,36.67099924127668,34,34,0,2,0,1,52,2007,12,14,4,99,99,1,25
1,0,32.11839313990359,37,709,0,0,0,5,0,2007,0,1,3,19,98,1,32
1,0,16.416304490880705,7,28,9,3,0,4,1,2015,61,3,3,99,9,1,53
2,0,195.21146276703487,42,48,0,3,0,1,45,2008,83,1,2,3,20,1,61
1,0,30.426502216501063,76,709,0,4,0,1,98,2004,0,1,2,19,20,1,44
3,0,26.668573840994526,12,481,1,2,0,4,50,2003,12,6,4,99,99,1,39
3,0,26.668573840994526,59,403,0,2,0,4,51,2017,12,14,3,3,9,2,62
2,0,32.50973585801308,54,32,0,3,0,1,28,1991,12,1,3,99,9,2,40
2,8,177.6196412791141,37,31,0,2,0,1,68,1996,83,11,2,20,20,1,52
2,8,30.490190366124885,20,15,0,3,0,1,89,1985,61,1,3,3,20,1,68
5,8,16.416304490880705,35,402,0,2,20,1,89,2000,9,1,2,3,20,1,21
4,8,78.134540153205,37,32,0,2,0,1,68,2001,12,11,2,3,9,2,25
4,0,28.552321377908786,30,47,0,4,0,1,20,2007,12,1,3,99,9,1,46
2,8,30.490190366124885,34,34,0,2,0,1,68,2001,81,11,3,3,9,1,36
2,8,30.490190366124885,12,461,0,2,0,1,69,2012,12,1,2,3,9,1,56
